Date,Apple,Adobe,AMD,Amazon,DELL,Facebook,Alphabet,Intel,Lenovo,Microsoft,Netflix,NVIDIA,Qualcomm,AT&T,Verizon,mean
2020-04-30,1.32,1.62,-1.95,2.24,-0.72,-1.07,1.15,-2.26,-1.46,-0.44,2.33,-1.35,-1.99,-1.71,-0.66,-0.33
2020-05-01,0.99,-0.98,-2.33,-2.17,-3.82,0.33,-0.51,-2.31,-7.96,-0.7,0.04,-0.55,-1.57,-2.83,-1.61,-1.73
2020-05-04,1.38,2.46,5.5,2.64,2.22,2.53,1.13,1.52,4.1,2.49,2.48,3.71,0.69,-0.5,-1.07,2.09
2020-05-05,0.85,0.78,-2.32,-0.95,-1.98,0.02,0.86,-0.07,-0.09,0.08,-0.67,-0.59,1.15,0.0,0.91,-0.13
2020-05-06,0.06,1.29,-0.5,0.94,-0.27,0.17,-0.93,0.24,2.44,0.25,1.16,0.29,0.08,-3.45,-1.28,0.03
2020-05-07,0.17,-0.55,-1.85,-0.3,1.68,0.05,0.59,-1.27,0.0,-0.31,-0.08,0.49,-1.09,-0.96,-0.93,-0.29
2020-05-08,1.47,-0.67,1.99,0.31,2.95,0.05,0.18,0.0,0.63,-0.16,0.32,1.54,1.08,1.71,1.39,0.85
2020-05-11,2.24,1.53,5.37,1.44,0.25,1.09,1.95,0.65,-0.36,1.96,0.96,3.3,0.24,-0.91,-0.83,1.26
2020-05-12,-2.02,-1.71,-4.36,-2.28,-2.96,-1.5,-2.35,-3.04,1.9,-2.3,-2.3,-3.95,-3.53,-2.1,-2.27,-2.32
2020-05-13,-1.44,-2.15,-3.44,0.05,-3.12,-2.07,-2.02,-1.21,-0.9,-1.53,0.59,-1.74,-1.09,-2.47,-0.56,-1.54
2020-05-14,1.65,0.39,4.63,1.18,4.23,2.1,1.75,3.07,1.75,1.68,-0.66,2.41,3.06,2.14,0.75,2.01
2020-05-15,2.45,3.91,1.65,1.74,2.26,2.73,1.84,1.53,-1.55,2.29,3.06,7.62,1.47,0.11,0.15,2.08
2020-05-18,0.57,-0.97,-0.71,0.91,2.12,0.49,1.73,0.3,1.07,-0.45,0.31,-0.12,3.46,1.59,0.13,0.7
2020-05-19,-0.6,0.63,1.99,0.8,1.03,1.69,-0.8,0.27,-1.05,-0.76,-0.52,0.17,-2.08,-1.7,-1.89,-0.19
2020-05-20,0.81,1.7,-0.28,0.81,0.54,2.89,1.44,3.17,-0.88,0.46,-1.45,-0.23,0.84,1.09,-0.51,0.69
2020-05-21,-0.57,0.04,-3.58,-2.13,-0.67,-1.42,-0.3,-1.77,-3.56,-1.06,-2.74,-3.05,-1.85,-0.07,-0.85,-1.57
2020-05-22,0.99,1.01,0.73,-0.74,-0.76,1.47,0.67,0.45,-0.77,0.17,-1.76,2.28,0.56,0.34,0.26,0.33
2020-05-26,-2.09,-3.68,-5.03,-1.47,-0.71,-3.16,-1.43,-2.1,0.94,-2.56,-3.04,-4.79,-2.71,0.59,-1.09,-2.16
